condition,kind,block,endpoint,recorded_utc,power_source,battery_percent,load_1m,load_5m,load_15m,record
baseline/ssz,warmup,1,before,2026-09-11T07:15:27.621375+00:00,AC Power,16,2.97,3.63,3.71,owner_state/results/collect-20260911T071527362410Z/001-warmup-01-baseline-ssz-before.json
baseline/ssz,warmup,1,after,2026-09-11T07:15:53.919525+00:00,AC Power,16,4.7,4.0,3.84,owner_state/results/collect-20260911T071527362410Z/001-warmup-01-baseline-ssz-after.json
cse_dce/ssz,warmup,1,before,2026-09-11T07:15:54.090645+00:00,AC Power,16,4.7,4.0,3.84,owner_state/results/collect-20260911T071527362410Z/002-warmup-01-cse_dce-ssz-before.json
cse_dce/ssz,warmup,1,after,2026-09-11T07:16:13.590227+00:00,AC Power,16,5.49,4.24,3.93,owner_state/results/collect-20260911T071527362410Z/002-warmup-01-cse_dce-ssz-after.json
baseline/rlp,warmup,1,before,2026-09-11T07:16:13.744171+00:00,AC Power,16,5.49,4.24,3.93,owner_state/results/collect-20260911T071527362410Z/003-warmup-01-baseline-rlp-before.json
baseline/rlp,warmup,1,after,2026-09-11T07:16:32.472813+00:00,AC Power,16,6.71,4.58,4.05,owner_state/results/collect-20260911T071527362410Z/003-warmup-01-baseline-rlp-after.json
cse_dce/direct,warmup,1,before,2026-09-11T07:16:32.626100+00:00,AC Power,16,6.71,4.58,4.05,owner_state/results/collect-20260911T071527362410Z/004-warmup-01-cse_dce-direct-before.json
cse_dce/direct,warmup,1,after,2026-09-11T07:16:46.378524+00:00,AC Power,16,6.18,4.57,4.06,owner_state/results/collect-20260911T071527362410Z/004-warmup-01-cse_dce-direct-after.json
baseline/direct,warmup,1,before,2026-09-11T07:16:46.534212+00:00,AC Power,16,6.18,4.57,4.06,owner_state/results/collect-20260911T071527362410Z/005-warmup-01-baseline-direct-before.json
baseline/direct,warmup,1,after,2026-09-11T07:17:00.417779+00:00,AC Power,16,6.56,4.73,4.13,owner_state/results/collect-20260911T071527362410Z/005-warmup-01-baseline-direct-after.json
cse_dce/rlp,warmup,1,before,2026-09-11T07:17:00.572634+00:00,AC Power,16,6.56,4.73,4.13,owner_state/results/collect-20260911T071527362410Z/006-warmup-01-cse_dce-rlp-before.json
