case,kind,length_bytes,variant,n,execute_median_ms,execute_min_ms,execute_max_ms,instructions
keccak256-20-baseline,keccak256,20,baseline,8,11.4105,11.283,11.655,189092
keccak256-20-cse_dce,keccak256,20,cse_dce,8,11.338999999999999,11.052,11.576,182682
keccak256-32-baseline,keccak256,32,baseline,8,11.536999999999999,11.139,11.681,190240
keccak256-32-cse_dce,keccak256,32,cse_dce,8,11.2685,11.197,11.541,183899
keccak256-52-baseline,keccak256,52,baseline,8,11.5095,11.341,11.805,190783
keccak256-52-cse_dce,keccak256,52,cse_dce,8,11.2735,11.045,11.594,184605
keccak256-56-baseline,keccak256,56,baseline,8,11.574000000000002,11.405,11.691,190879
keccak256-56-cse_dce,keccak256,56,cse_dce,8,11.4355,11.332,11.557,184733
keccak256-83-baseline,keccak256,83,baseline,8,11.4495,11.288,11.647,191527
keccak256-83-cse_dce,keccak256,83,cse_dce,8,11.3655,11.053,11.719,185597
keccak256-103-baseline,keccak256,103,baseline,8,11.4465,11.219,11.633,192007
keccak256-103-cse_dce,keccak256,103,cse_dce,8,11.467,11.292,11.611,186237
keccak256-106-baseline,keccak256,106,baseline,8,11.567,11.344,11.673,192079
keccak256-106-cse_dce,keccak256,106,cse_dce,8,11.2055,11.059,11.395,186333
keccak256-276-baseline,keccak256,276,baseline,8,42.18,41.602,43.632,579209
keccak256-276-cse_dce,keccak256,276,cse_dce,8,41.903,41.658,43.018,573705
keccak256-500-baseline,keccak256,500,baseline,8,46.6365,46.463,46.911,774879
keccak256-500-cse_dce,keccak256,500,cse_dce,8,46.689499999999995,46.378,47.818,769375
keccak256-532-baseline,keccak256,532,baseline,8,46.579,45.343,47.073,775391
keccak256-532-cse_dce,keccak256,532,cse_dce,8,46.75,45.408,47.159,769887
keccak256-634-baseline,keccak256,634,baseline,8,50.419,49.678,51.094,969109
keccak256-634-cse_dce,keccak256,634,cse_dce,8,50.512,50.32,50.851,963605
sha256-64-baseline,sha256,64,baseline,8,11.325,11.117,11.521,197733
sha256-64-cse_dce,sha256,64,cse_dce,8,11.303,11.184,11.477,197687
sha256-64-hybrid,sha256,64,hybrid,8,11.5205,11.414,11.654,197687
