condition,section,kind,length_bytes,instructions,xor,mul,set
baseline/direct,0,relation,,102971,35076,67766,129
baseline/direct,1,keccak256,20,188287,150207,38080,0
baseline/direct,2,keccak256,32,189339,150939,38400,0
baseline/direct,3,keccak256,532,770490,616890,153600,0
baseline/direct,4,keccak256,532,770490,616890,153600,0
baseline/direct,5,keccak256,532,770490,616890,153600,0
baseline/direct,6,keccak256,532,770490,616890,153600,0
baseline/direct,7,keccak256,532,770490,616890,153600,0
baseline/direct,8,keccak256,532,770490,616890,153600,0
baseline/direct,9,keccak256,500,770234,616634,153600,0
baseline/direct,10,keccak256,83,190218,151818,38400,0
baseline/direct,11,keccak256,83,190218,151818,38400,0
baseline/direct,12,keccak256,103,190538,152138,38400,0
baseline/direct,13,keccak256,276,576356,461156,115200,0
baseline/direct,14,keccak256,56,189786,151386,38400,0
baseline/direct,15,keccak256,52,189722,151322,38400,0
baseline/direct,16,keccak256,106,190494,152094,38400,0
baseline/rlp,0,relation,,108661,35645,72887,129
baseline/rlp,1,keccak256,634,963392,771392,192000,0
baseline/rlp,2,keccak256,20,188287,150207,38080,0
baseline/rlp,3,keccak256,32,189339,150939,38400,0
baseline/rlp,4,keccak256,532,770490,616890,153600,0
baseline/rlp,5,keccak256,532,770490,616890,153600,0
baseline/rlp,6,keccak256,532,770490,616890,153600,0
baseline/rlp,7,keccak256,532,770490,616890,153600,0
baseline/rlp,8,keccak256,532,770490,616890,153600,0
baseline/rlp,9,keccak256,532,770490,616890,153600,0
baseline/rlp,10,keccak256,500,770234,616634,153600,0
baseline/rlp,11,keccak256,83,190218,151818,38400,0
baseline/rlp,12,keccak256,83,190218,151818,38400,0
baseline/rlp,13,keccak256,103,190538,152138,38400,0
baseline/rlp,14,keccak256,276,576356,461156,115200,0
baseline/rlp,15,keccak256,56,189786,151386,38400,0
baseline/rlp,16,keccak256,52,189722,151322,38400,0
baseline/rlp,17,keccak256,106,190496,152096,38400,0
baseline/ssz,0,relation,,104507,35332,69046,129
baseline/ssz,1,sha256,64,196576,127551,69025,0
baseline/ssz,2,sha256,64,196576,127551,69025,0
baseline/ssz,3,sha256,64,196576,127551,69025,0
baseline/ssz,4,sha256,64,196576,127551,69025,0
baseline/ssz,5,sha256,64,196576,127551,69025,0
baseline/ssz,6,keccak256,20,188287,150207,38080,0
baseline/ssz,7,keccak256,32,189339,150939,38400,0
baseline/ssz,8,keccak256,532,770490,616890,153600,0
baseline/ssz,9,keccak256,532,770490,616890,153600,0
baseline/ssz,10,keccak256,532,770490,616890,153600,0
baseline/ssz,11,keccak256,532,770490,616890,153600,0
baseline/ssz,12,keccak256,532,770490,616890,153600,0
baseline/ssz,13,keccak256,532,770490,616890,153600,0
baseline/ssz,14,keccak256,500,770234,616634,153600,0
baseline/ssz,15,keccak256,83,190218,151818,38400,0
baseline/ssz,16,keccak256,83,190218,151818,38400,0
baseline/ssz,17,keccak256,103,190538,152138,38400,0
baseline/ssz,18,keccak256,276,576356,461156,115200,0
baseline/ssz,19,keccak256,56,189786,151386,38400,0
baseline/ssz,20,keccak256,52,189722,151322,38400,0
baseline/ssz,21,keccak256,106,190496,152096,38400,0
cse_dce/direct,0,relation,,102971,35076,67766,129
cse_dce/direct,1,keccak256,20,181877,145141,36736,0
cse_dce/direct,2,keccak256,32,182998,145942,37056,0
cse_dce/direct,3,keccak256,532,764986,612730,152256,0
cse_dce/direct,4,keccak256,532,764986,612730,152256,0
cse_dce/direct,5,keccak256,532,764986,612730,152256,0
cse_dce/direct,6,keccak256,532,764986,612730,152256,0
cse_dce/direct,7,keccak256,532,764986,612730,152256,0
cse_dce/direct,8,keccak256,532,764986,612730,152256,0
cse_dce/direct,9,keccak256,500,764730,612474,152256,0
cse_dce/direct,10,keccak256,83,184288,147232,37056,0
cse_dce/direct,11,keccak256,83,184288,147232,37056,0
cse_dce/direct,12,keccak256,103,184768,147712,37056,0
cse_dce/direct,13,keccak256,276,570852,456996,113856,0
cse_dce/direct,14,keccak256,56,183640,146584,37056,0
cse_dce/direct,15,keccak256,52,183544,146488,37056,0
cse_dce/direct,16,keccak256,106,184634,147578,37056,0
cse_dce/rlp,0,relation,,108661,35645,72887,129
cse_dce/rlp,1,keccak256,634,957888,767232,190656,0
cse_dce/rlp,2,keccak256,20,181877,145141,36736,0
cse_dce/rlp,3,keccak256,32,182998,145942,37056,0
cse_dce/rlp,4,keccak256,532,764986,612730,152256,0
cse_dce/rlp,5,keccak256,532,764986,612730,152256,0
cse_dce/rlp,6,keccak256,532,764986,612730,152256,0
cse_dce/rlp,7,keccak256,532,764986,612730,152256,0
cse_dce/rlp,8,keccak256,532,764986,612730,152256,0
cse_dce/rlp,9,keccak256,532,764986,612730,152256,0
cse_dce/rlp,10,keccak256,500,764730,612474,152256,0
