condition,variant,mode,kind,block,position,sequence,prove_s,verify_ms,assembly_ms,process_s,instructions,memory_cells,log_mem,xor,mul,committed_cells,proof_bytes,max_rss_bytes,peak_footprint_bytes,execution_s,witness_build_s,commitment_s,bus_s,constraints_s,opening_s,other_s,four_major_proving_stages_s,prove_after_execution_and_build_s,phase_execute_ms,phase_build_ms,phase_transcript_setup_ms,phase_commit_ms,phase_bus_ms,phase_constraints_ms,phase_claim_prep_ms,phase_reduction_ms,phase_pcs_open_ms,phase_finalize_ms,phase_internal_total_ms,phase_internal_residual_ms,phase_outer_prove_residual_ms,phase_outer_timer_resolution_ms,log,log_sha256
baseline/ssz,baseline,ssz,warmup,1,1,1,9.179849,488.977,1031.478,11.158313666,8575525,8569724,24,6663941,1911451,207621052,834016,36822450176,39987131432,0.8724995,0.791993291,1.75898,2.519545709,0.686508875,2.412443375,0.13787825,7.377477959,7.515356209,872.4995,791.993291,0.004292,1758.98,2519.545709,686.508875,0.038084,3.337375,2412.443375,0.026084,9045.405041,0.028456,134.443959,0.001,owner_state/results/collect-20260911T074413358669Z/001-warmup-01-baseline-ssz.log,27b57b39bf48af7dc64ac583680be1bbb8e479d4758b01fcfd0f8d2a3925ff80
cse_dce/ssz,cse_dce,ssz,warmup,1,2,2,7.466259,298.076,1024.153,9.14956904101,8482697,8476896,24,6592617,1889947,207621052,836384,44005588992,43994234560,0.841649708,0.801663209,1.806601666,2.106488583,0.461162416,1.285366334,0.163327084,5.659618999,5.822946083,841.649708,801.663209,0.004916,1806.601666,2106.488583,461.162416,0.029917,2.343084,1285.366334,0.00425,7305.3405,0.026417,160.9185,0.001,owner_state/results/collect-20260911T074413358669Z/002-warmup-01-cse_dce-ssz.log,e518b8b9c621fce495d992c1f8d196a32457b1fcabcf84c7f093ce8110c268e9
baseline/rlp,baseline,rlp,warmup,1,3,3,7.821582,342.408,1031.296,9.568997917,8560191,8554175,24,6797891,1762167,207621052,834080,44506660864,44825772264,0.849133,0.797800167,1.817187667,2.177395,0.465375667,1.535505125,0.179185374,5.995463459,6.174648833,849.133,797.800167,0.004459,1817.187667,2177.395,465.375667,0.025625,2.296625,1535.505125,0.008667,7644.756875,0.024873,176.825125,0.001,owner_state/results/collect-20260911T074413358669Z/003-warmup-01-baseline-rlp.log,0333dfe5cf67cb1683296b82d34c498b90da438c0097e3f1dffd893cbc4f6e07
cse_dce/direct,cse_dce,direct,warmup,1,4,4,6.878274,157.796,538.794,7.83101954201,7498510,7492965,23,5954835,1543542,182455228,834752,41414180864,41432446688,0.462823209,0.65125,1.8830935,2.029294416,0.494806375,1.199202667,0.157803833,5.606396958,5.764200791,462.823209,651.25,0.004625,1883.0935,2029.294416,494.806375,0.021084,2.430375,1199.202667,0.004791,6722.954292,0.02325,155.319708,0.001,owner_state/results/collect-20260911T074413358669Z/004-warmup-01-cse_dce-direct.log,54d78254020ed255549899992daa980b539fb3cf1239f21fad6ee599750eabce
baseline/direct,baseline,direct,warmup,1,5,5,6.982161,163.339,530.738,7.935227708,7591107,7585562,23,6025928,1565046,182455228,831168,41437839360,41456105184,0.469374333,0.649626375,1.897983,2.047309208,0.502108041,1.256120041,0.159640002,5.70352029,5.863160292,469.374333,649.626375,0.004375,1897.983,2047.309208,502.108041,0.023375,2.356375,1256.120041,0.004583,6824.92975,0.020044,157.23125,0.001,owner_state/results/collect-20260911T074413358669Z/005-warmup-01-baseline-direct.log,8dfaa3c1664b1a191ef1642b70b82d4a6236106a2ca1e6a4145437de6d152291
cse_dce/rlp,cse_dce,rlp,warmup,1,6,6,7.696473,322.418,1067.245,9.451472958,8462089,8456073,24,6722637,1739319,207621052,835712,44139331584,44159024856,0.86329525,0.789649583,1.898568667,2.218686125,0.4944655,1.272328792,0.159479083,5.884049084,6.043528167,863.29525,789.649583,0.00425,1898.568667,2218.686125,494.4655,0.024292,2.415625,1272.328792,0.00525,7539.4795,0.036166,156.9935,0.001,owner_state/results/collect-20260911T074413358669Z/006-warmup-01-cse_dce-rlp.log,9289a1b4405d449e364968f52de9469dd220e8181a7501538c990aabe8aa2f3c
baseline/rlp,baseline,rlp,measured,1,1,7,7.713904,321.475,1048.644,9.45275587501,8560191,8554175,24,6797891,1762167,207621052,834080,44168790016,44188434064,0.860230291,0.787857292,1.937101958,2.226844,0.486013041,1.257573625,0.158283793,5.907532624,6.065816417,860.230291,787.857292,0.004292,1937.101958,2226.844,486.013041,0.022,2.409083,1257.573625,0.005458,7558.088875,0.027835,155.815125,0.001,owner_state/results/collect-20260911T074413358669Z/007-measured-01-baseline-rlp.log,47e4ca08115d4e1fa76e0b4c6862d7a3be5c86c563dd08f2e0c09a0ec863ee2a
cse_dce/direct,cse_dce,direct,measured,1,2,8,7.052927,166.235,533.177,8.020425166,7498510,7492965,23,5954835,1543542,182455228,834752,41412657152,41430955792,0.468450458,0.647583292,1.923688459,2.070661334,0.506017583,1.27512375,0.161402124,5.775491126,5.93689325,468.450458,647.583292,0.004416,1923.688459,2070.661334,506.017583,0.01725,2.309958,1275.12375,0.00475,6893.895833,0.034583,159.031167,0.001,owner_state/results/collect-20260911T074413358669Z/008-measured-01-cse_dce-direct.log,47e5f7872d6ad3e0d3cec7e694e7e74fe32974d43afdff037c3e3edc7ef54451
cse_dce/rlp,cse_dce,rlp,measured,1,3,9,7.83015,322.709,1061.479,9.6014015,8462089,8456073,24,6722637,1739319,207621052,835712,44138315776,44158041864,0.873698542,0.802461541,1.951839583,2.222127167,0.500869208,1.318856417,0.160297542,5.993692375,6.153989917,873.698542,802.461541,0.00475,1951.839583,2222.127167,500.869208,0.022583,2.341833,1318.856417,0.007083,7672.272209,0.043502,157.877791,0.001,owner_state/results/collect-20260911T074413358669Z/009-measured-01-cse_dce-rlp.log,47132d2a4838925a4dddcae2780a60680e02d8bf763224e9d059307118b0d332
cse_dce/ssz,cse_dce,ssz,measured,1,4,10,8.294502,316.293,1046.316,10.019551542,8482697,8476896,24,6592617,1889947,207621052,836384,40095793152,40080569576,0.872905167,0.819826167,2.193537333,2.446228041,0.482314292,1.341959791,0.137731209,6.464039457,6.601770666,872.905167,819.826167,0.004875,2193.537333,2446.228041,482.314292,0.021916,2.262708,1341.959791,0.005792,8159.09175,0.025668,135.41025,0.001,owner_state/results/collect-20260911T074413358669Z/010-measured-01-cse_dce-ssz.log,2191ed42eadb0a718ba4fa22326b0c5671ee8eb7a0f318a2442b3dac58b20820
