condition,kind,block,endpoint,recorded_utc,power_source,battery_percent,load_1m,load_5m,load_15m,record
cse_dce/ssz,warmup,1,before,2026-09-15T09:40:23.214250+00:00,AC Power,87,2.92,3.05,3.27,owner_state/results/collect-20260915T094023087152Z/001-warmup-01-cse_dce-ssz-before.json
cse_dce/ssz,warmup,1,after,2026-09-15T09:40:32.277205+00:00,AC Power,87,3.66,3.2,3.32,owner_state/results/collect-20260915T094023087152Z/001-warmup-01-cse_dce-ssz-after.json
cse_dce/direct,warmup,1,before,2026-09-15T09:40:32.334460+00:00,AC Power,87,3.66,3.2,3.32,owner_state/results/collect-20260915T094023087152Z/002-warmup-01-cse_dce-direct-before.json
cse_dce/direct,warmup,1,after,2026-09-15T09:40:39.638113+00:00,AC Power,87,4.3,3.35,3.38,owner_state/results/collect-20260915T094023087152Z/002-warmup-01-cse_dce-direct-after.json
cse_dce/rlp,warmup,1,before,2026-09-15T09:40:39.702893+00:00,AC Power,87,4.3,3.35,3.38,owner_state/results/collect-20260915T094023087152Z/003-warmup-01-cse_dce-rlp-before.json
cse_dce/rlp,warmup,1,after,2026-09-15T09:40:48.453907+00:00,AC Power,87,4.35,3.38,3.39,owner_state/results/collect-20260915T094023087152Z/003-warmup-01-cse_dce-rlp-after.json
cse_dce/rlp,measured,1,before,2026-09-15T09:40:48.518283+00:00,AC Power,87,4.35,3.38,3.39,owner_state/results/collect-20260915T094023087152Z/004-measured-01-cse_dce-rlp-before.json
cse_dce/rlp,measured,1,after,2026-09-15T09:40:57.461018+00:00,AC Power,87,4.61,3.47,3.42,owner_state/results/collect-20260915T094023087152Z/004-measured-01-cse_dce-rlp-after.json
cse_dce/ssz,measured,1,before,2026-09-15T09:40:57.527119+00:00,AC Power,87,4.61,3.47,3.42,owner_state/results/collect-20260915T094023087152Z/005-measured-01-cse_dce-ssz-before.json
cse_dce/ssz,measured,1,after,2026-09-15T09:41:06.462590+00:00,AC Power,87,4.36,3.45,3.41,owner_state/results/collect-20260915T094023087152Z/005-measured-01-cse_dce-ssz-after.json
cse_dce/direct,measured,1,before,2026-09-15T09:41:06.528331+00:00,AC Power,87,4.36,3.45,3.41,owner_state/results/collect-20260915T094023087152Z/006-measured-01-cse_dce-direct-before.json
cse_dce/direct,measured,1,after,2026-09-15T09:41:14.143847+00:00,AC Power,87,5.1,3.65,3.48,owner_state/results/collect-20260915T094023087152Z/006-measured-01-cse_dce-direct-after.json
cse_dce/direct,measured,2,before,2026-09-15T09:41:14.210554+00:00,AC Power,87,5.1,3.65,3.48,owner_state/results/collect-20260915T094023087152Z/007-measured-02-cse_dce-direct-before.json
cse_dce/direct,measured,2,after,2026-09-15T09:41:21.936578+00:00,AC Power,87,6.46,3.95,3.59,owner_state/results/collect-20260915T094023087152Z/007-measured-02-cse_dce-direct-after.json
cse_dce/ssz,measured,2,before,2026-09-15T09:41:22.001809+00:00,AC Power,87,6.46,3.95,3.59,owner_state/results/collect-20260915T094023087152Z/008-measured-02-cse_dce-ssz-before.json
cse_dce/ssz,measured,2,after,2026-09-15T09:41:31.133253+00:00,AC Power,87,6.07,3.95,3.59,owner_state/results/collect-20260915T094023087152Z/008-measured-02-cse_dce-ssz-after.json
cse_dce/rlp,measured,2,before,2026-09-15T09:41:31.195725+00:00,AC Power,87,6.07,3.95,3.59,owner_state/results/collect-20260915T094023087152Z/009-measured-02-cse_dce-rlp-before.json
cse_dce/rlp,measured,2,after,2026-09-15T09:41:40.248041+00:00,AC Power,87,6.9,4.2,3.69,owner_state/results/collect-20260915T094023087152Z/009-measured-02-cse_dce-rlp-after.json
cse_dce/ssz,measured,3,before,2026-09-15T09:41:40.302909+00:00,AC Power,87,6.9,4.2,3.69,owner_state/results/collect-20260915T094023087152Z/010-measured-03-cse_dce-ssz-before.json
cse_dce/ssz,measured,3,after,2026-09-15T09:41:49.335757+00:00,AC Power,87,7.83,4.49,3.79,owner_state/results/collect-20260915T094023087152Z/010-measured-03-cse_dce-ssz-after.json
cse_dce/direct,measured,3,before,2026-09-15T09:41:49.401522+00:00,AC Power,87,7.83,4.49,3.79,owner_state/results/collect-20260915T094023087152Z/011-measured-03-cse_dce-direct-before.json
cse_dce/direct,measured,3,after,2026-09-15T09:41:57.635707+00:00,AC Power,87,7.68,4.51,3.81,owner_state/results/collect-20260915T094023087152Z/011-measured-03-cse_dce-direct-after.json
cse_dce/rlp,measured,3,before,2026-09-15T09:41:57.699036+00:00,AC Power,87,7.68,4.51,3.81,owner_state/results/collect-20260915T094023087152Z/012-measured-03-cse_dce-rlp-before.json
cse_dce/rlp,measured,3,after,2026-09-15T09:42:07.148584+00:00,AC Power,87,7.2,4.51,3.81,owner_state/results/collect-20260915T094023087152Z/012-measured-03-cse_dce-rlp-after.json
cse_dce/rlp,measured,4,before,2026-09-15T09:42:07.211523+00:00,AC Power,87,7.2,4.51,3.81,owner_state/results/collect-20260915T094023087152Z/013-measured-04-cse_dce-rlp-before.json
cse_dce/rlp,measured,4,after,2026-09-15T09:42:16.729594+00:00,AC Power,87,7.85,4.74,3.9,owner_state/results/collect-20260915T094023087152Z/013-measured-04-cse_dce-rlp-after.json
cse_dce/direct,measured,4,before,2026-09-15T09:42:16.793148+00:00,AC Power,87,7.85,4.74,3.9,owner_state/results/collect-20260915T094023087152Z/014-measured-04-cse_dce-direct-before.json
