case,kind,length_bytes,variant,n,execute_median_ms,execute_min_ms,execute_max_ms,instructions
keccak256-20-baseline,keccak256,20,baseline,8,11.615,11.359,12.322,189092
keccak256-20-cse_dce,keccak256,20,cse_dce,8,11.499,11.322,12.05,182682
keccak256-32-baseline,keccak256,32,baseline,8,11.5475,11.35,12.385,190240
keccak256-32-cse_dce,keccak256,32,cse_dce,8,11.4805,11.243,11.953,183899
keccak256-52-baseline,keccak256,52,baseline,8,11.7045,11.394,12.38,190783
keccak256-52-cse_dce,keccak256,52,cse_dce,8,11.429,11.237,12.056,184605
keccak256-56-baseline,keccak256,56,baseline,8,11.583,11.429,11.825,190879
keccak256-56-cse_dce,keccak256,56,cse_dce,8,11.548,11.392,11.783,184733
keccak256-83-baseline,keccak256,83,baseline,8,11.743,11.445,12.212,191527
keccak256-83-cse_dce,keccak256,83,cse_dce,8,11.464,11.33,12.088,185597
keccak256-103-baseline,keccak256,103,baseline,8,11.6545,11.543,12.294,192007
keccak256-103-cse_dce,keccak256,103,cse_dce,8,11.59,11.374,12.284,186237
keccak256-106-baseline,keccak256,106,baseline,8,11.765,11.616,12.599,192079
keccak256-106-cse_dce,keccak256,106,cse_dce,8,11.544,11.403,12.309,186333
keccak256-276-baseline,keccak256,276,baseline,8,43.22,42.263,45.245,579209
keccak256-276-cse_dce,keccak256,276,cse_dce,8,42.707,42.252,45.316,573705
keccak256-500-baseline,keccak256,500,baseline,8,48.144,47.154,49.594,774879
keccak256-500-cse_dce,keccak256,500,cse_dce,8,47.706,46.874,49.338,769375
keccak256-532-baseline,keccak256,532,baseline,8,48.27,46.832,49.154,775391
keccak256-532-cse_dce,keccak256,532,cse_dce,8,48.6445,47.06,49.445,769887
keccak256-634-baseline,keccak256,634,baseline,8,51.752,49.372,53.012,969109
keccak256-634-cse_dce,keccak256,634,cse_dce,8,51.97,50.796,55.822,963605
sha256-64-baseline,sha256,64,baseline,8,11.552,11.324,12.011,197733
sha256-64-cse_dce,sha256,64,cse_dce,8,11.596,11.282,12.247,197687
sha256-64-hybrid,sha256,64,hybrid,8,11.726,11.594,12.306,197687
