condition,variant,mode,kind,block,position,sequence,prove_s,verify_ms,assembly_ms,process_s,instructions,memory_cells,log_mem,xor,mul,committed_cells,proof_bytes,max_rss_bytes,peak_footprint_bytes,execution_s,witness_build_s,commitment_s,bus_s,constraints_s,opening_s,other_s,four_major_proving_stages_s,prove_after_execution_and_build_s,phase_execute_ms,phase_build_ms,phase_transcript_setup_ms,phase_commit_ms,phase_bus_ms,phase_constraints_ms,phase_claim_prep_ms,phase_reduction_ms,phase_pcs_open_ms,phase_finalize_ms,phase_internal_total_ms,phase_internal_residual_ms,phase_outer_prove_residual_ms,phase_outer_timer_resolution_ms,log,log_sha256
cse_dce/ssz,cse_dce,ssz,warmup,1,1,1,7.032974,300.221,1034.166,8.989820959,8482697,8476896,24,6592617,1889947,207621052,836384,44083118080,44102876960,0.841149625,0.693544875,1.767431208,2.060993125,0.427565125,1.131076167,0.111213875,5.387065625,5.4982795,841.149625,693.544875,0.004042,1767.431208,2060.993125,427.565125,0.020667,2.881166,1131.076167,0.008458,6924.700959,0.026501,108.273041,0.001,owner_state/results/collect-20260915T094023087152Z/001-warmup-01-cse_dce-ssz.log,46fe63e34e0ce38adbb87c76b7467b8bd5becfcbf3200fe12391596511c08a60
cse_dce/direct,cse_dce,direct,warmup,1,2,2,6.398808,151.605,507.737,7.251324333,7498510,7492965,23,5954835,1543542,182455228,834752,41414148096,41432430328,0.437653458,0.590225209,1.811891709,1.937590333,0.426516334,1.084200959,0.110729998,5.260199335,5.370929333,437.653458,590.225209,0.004459,1811.891709,1937.590333,426.516334,0.017167,2.16175,1084.200959,0.004917,6290.287209,0.020914,108.520791,0.001,owner_state/results/collect-20260915T094023087152Z/002-warmup-01-cse_dce-direct.log,1d33a6a00dc2fa81a5282a3b02281825b4726f58363bd5e38db06637b20e9c88
cse_dce/rlp,cse_dce,rlp,warmup,1,3,3,7.075486,303.516,1022.636,8.689909917,8462089,8456073,24,6722637,1739319,207621052,835712,44337709056,44357451552,0.803154042,0.688138834,1.811587292,2.098407625,0.434028125,1.1344195,0.105750582,5.478442542,5.584193124,803.154042,688.138834,0.004833,1811.587292,2098.407625,434.028125,0.020791,2.41,1134.4195,0.006875,6972.21075,0.032833,103.27525,0.001,owner_state/results/collect-20260915T094023087152Z/003-warmup-01-cse_dce-rlp.log,033650aab184e9853eef8ce2f52648fdffab4e7650d93a4a8f64c3e6331e13d7
cse_dce/rlp,cse_dce,rlp,measured,1,1,4,7.219859,317.899,1044.86,8.881536416,8462089,8456073,24,6722637,1739319,207621052,835712,44142198784,44161793608,0.799586458,0.702298166,1.801632833,2.168636875,0.461696208,1.168880666,0.117127794,5.600846582,5.717974376,799.586458,702.298166,0.004708,1801.632833,2168.636875,461.696208,0.028334,3.687416,1168.880666,0.006625,7106.485417,0.027128,113.373583,0.001,owner_state/results/collect-20260915T094023087152Z/004-measured-01-cse_dce-rlp.log,25711ea5fc16e28bb4422499d19712f29c751f11e4d019566bcd9692f6dea4e0
cse_dce/ssz,cse_dce,ssz,measured,1,2,5,7.243748,314.255,1021.428,8.872923542,8482697,8476896,24,6592617,1889947,207621052,836384,44081610752,44101304000,0.807470375,0.711820917,1.874385667,2.163241958,0.451361791,1.126483,0.108984292,5.615472416,5.724456708,807.470375,711.820917,0.0045,1874.385667,2163.241958,451.361791,0.0205,2.2155,1126.483,0.004833,7137.031083,0.022042,106.716917,0.001,owner_state/results/collect-20260915T094023087152Z/005-measured-01-cse_dce-ssz.log,c52cb6aa24cc01064e3908d4cdf53e0fa6e7193f8bbce36e0e0860fa832545c9
cse_dce/direct,cse_dce,direct,measured,1,3,6,6.673427,160.432,520.722,7.551168041,7498510,7492965,23,5954835,1543542,182455228,834752,41415688192,41433970424,0.434150625,0.593105167,1.892271792,2.020841875,0.461483375,1.152637875,0.118936291,5.527234917,5.646171208,434.150625,593.105167,0.004167,1892.271792,2020.841875,461.483375,0.02175,2.23475,1152.637875,0.004541,6556.777042,0.021125,116.649958,0.001,owner_state/results/collect-20260915T094023087152Z/006-measured-01-cse_dce-direct.log,600628516a0e77fcfab8b6b639dbc526176f5d56ae91b6535bc6ae24da617ecb
cse_dce/direct,cse_dce,direct,measured,2,1,7,6.779497,161.244,519.848,7.664347583,7498510,7492965,23,5954835,1543542,182455228,834752,41417195520,41435494160,0.424141459,0.596325,1.907484417,2.080328084,0.468699834,1.183199291,0.119318915,5.639711626,5.759030541,424.141459,596.325,0.005292,1907.484417,2080.328084,468.699834,0.016,2.3985,1183.199291,0.005375,6662.62325,0.019998,116.87375,0.001,owner_state/results/collect-20260915T094023087152Z/007-measured-02-cse_dce-direct.log,06e1bc2f73afb368770790d39b7a383000275a0fff076953351ca09a4d4a70dd
cse_dce/ssz,cse_dce,ssz,measured,2,2,8,7.430559,317.462,1022.803,9.067763125,8482697,8476896,24,6592617,1889947,207621052,836384,44083527680,44103253744,0.817519917,0.72114875,1.93957325,2.239080083,0.447318083,1.153066042,0.112852875,5.779037458,5.891890333,817.519917,721.14875,0.004167,1939.57325,2239.080083,447.318083,0.020416,2.324,1153.066042,0.006125,7320.085833,0.025,110.473167,0.001,owner_state/results/collect-20260915T094023087152Z/008-measured-02-cse_dce-ssz.log,20f6fe3e2b46a9df77c2b8485bdd16bad755379fc2a8039778578e42cdce07dd
cse_dce/rlp,cse_dce,rlp,measured,2,3,9,7.382098,308.5,1026.859,8.991131,8462089,8456073,24,6722637,1739319,207621052,835712,44143673344,44163383024,0.794765208,0.707537709,1.924977291,2.271617416,0.452871292,1.125538333,0.104790751,5.775004332,5.879795083,794.765208,707.537709,0.0065,1924.977291,2271.617416,452.871292,0.019125,2.4305,1125.538333,0.004709,7279.7905,0.022417,102.3075,0.001,owner_state/results/collect-20260915T094023087152Z/009-measured-02-cse_dce-rlp.log,90a6becaa3f35b5a4046a01a6406adc7a808a32278fc5f8ea6782d8a4e2f3e9a
cse_dce/ssz,cse_dce,ssz,measured,3,1,10,7.342036,324.493,1009.317,8.975737541,8482697,8476896,24,6592617,1889947,207621052,836384,44083576832,44103319304,0.750293917,0.70816775,1.939305042,2.223769667,0.425403334,1.174705625,0.120390665,5.763183668,5.883574333,750.293917,708.16775,0.004542,1939.305042,2223.769667,425.403334,0.025583,2.178292,1174.705625,0.004834,7223.893375,0.034789,118.142625,0.001,owner_state/results/collect-20260915T094023087152Z/010-measured-03-cse_dce-ssz.log,33bbc3e6ccf32f61a71c40e0b6b311eb32bb61f33011aee8c6a86b182b820bd7
