condition,kind,block,endpoint,recorded_utc,power_source,battery_percent,load_1m,load_5m,load_15m,record
baseline/ssz,warmup,1,before,2026-09-11T07:44:13.589758+00:00,AC Power,30,2.87,3.16,4.02,owner_state/results/collect-20260911T074413358669Z/001-warmup-01-baseline-ssz-before.json
baseline/ssz,warmup,1,after,2026-09-11T07:44:24.815981+00:00,AC Power,30,4.22,3.43,4.1,owner_state/results/collect-20260911T074413358669Z/001-warmup-01-baseline-ssz-after.json
cse_dce/ssz,warmup,1,before,2026-09-11T07:44:24.885747+00:00,AC Power,30,4.22,3.43,4.1,owner_state/results/collect-20260911T074413358669Z/002-warmup-01-cse_dce-ssz-before.json
cse_dce/ssz,warmup,1,after,2026-09-11T07:44:34.096025+00:00,AC Power,30,5.73,3.78,4.22,owner_state/results/collect-20260911T074413358669Z/002-warmup-01-cse_dce-ssz-after.json
baseline/rlp,warmup,1,before,2026-09-11T07:44:34.164201+00:00,AC Power,30,5.73,3.78,4.22,owner_state/results/collect-20260911T074413358669Z/003-warmup-01-baseline-rlp-before.json
baseline/rlp,warmup,1,after,2026-09-11T07:44:43.792975+00:00,AC Power,30,5.38,3.77,4.21,owner_state/results/collect-20260911T074413358669Z/003-warmup-01-baseline-rlp-after.json
cse_dce/direct,warmup,1,before,2026-09-11T07:44:43.863196+00:00,AC Power,30,5.38,3.77,4.21,owner_state/results/collect-20260911T074413358669Z/004-warmup-01-cse_dce-direct-before.json
cse_dce/direct,warmup,1,after,2026-09-11T07:44:51.754921+00:00,AC Power,30,5.43,3.81,4.22,owner_state/results/collect-20260911T074413358669Z/004-warmup-01-cse_dce-direct-after.json
baseline/direct,warmup,1,before,2026-09-11T07:44:51.815057+00:00,AC Power,30,5.43,3.81,4.22,owner_state/results/collect-20260911T074413358669Z/005-warmup-01-baseline-direct-before.json
baseline/direct,warmup,1,after,2026-09-11T07:44:59.809753+00:00,AC Power,30,6.75,4.14,4.33,owner_state/results/collect-20260911T074413358669Z/005-warmup-01-baseline-direct-after.json
cse_dce/rlp,warmup,1,before,2026-09-11T07:44:59.870862+00:00,AC Power,30,6.75,4.14,4.33,owner_state/results/collect-20260911T074413358669Z/006-warmup-01-cse_dce-rlp-before.json
cse_dce/rlp,warmup,1,after,2026-09-11T07:45:09.382225+00:00,AC Power,30,6.9,4.27,4.38,owner_state/results/collect-20260911T074413358669Z/006-warmup-01-cse_dce-rlp-after.json
baseline/rlp,measured,1,before,2026-09-11T07:45:09.452645+00:00,AC Power,30,6.9,4.27,4.38,owner_state/results/collect-20260911T074413358669Z/007-measured-01-baseline-rlp-before.json
baseline/rlp,measured,1,after,2026-09-11T07:45:18.964532+00:00,AC Power,30,7.27,4.44,4.44,owner_state/results/collect-20260911T074413358669Z/007-measured-01-baseline-rlp-after.json
cse_dce/direct,measured,1,before,2026-09-11T07:45:19.035048+00:00,AC Power,30,7.27,4.44,4.44,owner_state/results/collect-20260911T074413358669Z/008-measured-01-cse_dce-direct-before.json
cse_dce/direct,measured,1,after,2026-09-11T07:45:27.116927+00:00,AC Power,30,7.65,4.56,4.48,owner_state/results/collect-20260911T074413358669Z/008-measured-01-cse_dce-direct-after.json
cse_dce/rlp,measured,1,before,2026-09-11T07:45:27.179940+00:00,AC Power,30,7.65,4.56,4.48,owner_state/results/collect-20260911T074413358669Z/009-measured-01-cse_dce-rlp-before.json
cse_dce/rlp,measured,1,after,2026-09-11T07:45:36.840188+00:00,AC Power,30,7.23,4.58,4.48,owner_state/results/collect-20260911T074413358669Z/009-measured-01-cse_dce-rlp-after.json
cse_dce/ssz,measured,1,before,2026-09-11T07:45:36.911552+00:00,AC Power,30,7.23,4.58,4.48,owner_state/results/collect-20260911T074413358669Z/010-measured-01-cse_dce-ssz-before.json
cse_dce/ssz,measured,1,after,2026-09-11T07:45:46.995301+00:00,AC Power,30,6.81,4.57,4.48,owner_state/results/collect-20260911T074413358669Z/010-measured-01-cse_dce-ssz-after.json
baseline/direct,measured,1,before,2026-09-11T07:45:47.058562+00:00,AC Power,30,6.81,4.57,4.48,owner_state/results/collect-20260911T074413358669Z/011-measured-01-baseline-direct-before.json
baseline/direct,measured,1,after,2026-09-11T07:45:55.566084+00:00,AC Power,30,6.89,4.67,4.52,owner_state/results/collect-20260911T074413358669Z/011-measured-01-baseline-direct-after.json
baseline/ssz,measured,1,before,2026-09-11T07:45:55.629303+00:00,AC Power,30,6.89,4.67,4.52,owner_state/results/collect-20260911T074413358669Z/012-measured-01-baseline-ssz-before.json
baseline/ssz,measured,1,after,2026-09-11T07:46:05.363870+00:00,AC Power,30,7.24,4.82,4.58,owner_state/results/collect-20260911T074413358669Z/012-measured-01-baseline-ssz-after.json
cse_dce/ssz,measured,2,before,2026-09-11T07:46:05.427101+00:00,AC Power,30,7.24,4.82,4.58,owner_state/results/collect-20260911T074413358669Z/013-measured-02-cse_dce-ssz-before.json
cse_dce/ssz,measured,2,after,2026-09-11T07:46:15.215535+00:00,AC Power,30,6.87,4.83,4.58,owner_state/results/collect-20260911T074413358669Z/013-measured-02-cse_dce-ssz-after.json
baseline/ssz,measured,2,before,2026-09-11T07:46:15.278161+00:00,AC Power,30,6.87,4.83,4.58,owner_state/results/collect-20260911T074413358669Z/014-measured-02-baseline-ssz-before.json
baseline/ssz,measured,2,after,2026-09-11T07:46:25.171586+00:00,AC Power,30,6.93,4.91,4.61,owner_state/results/collect-20260911T074413358669Z/014-measured-02-baseline-ssz-after.json
cse_dce/direct,measured,2,before,2026-09-11T07:46:25.233758+00:00,AC Power,30,6.93,4.91,4.61,owner_state/results/collect-20260911T074413358669Z/015-measured-02-cse_dce-direct-before.json
cse_dce/direct,measured,2,after,2026-09-11T07:46:33.923163+00:00,AC Power,30,7.07,5.01,4.65,owner_state/results/collect-20260911T074413358669Z/015-measured-02-cse_dce-direct-after.json
baseline/direct,measured,2,before,2026-09-11T07:46:33.983830+00:00,AC Power,30,7.07,5.01,4.65,owner_state/results/collect-20260911T074413358669Z/016-measured-02-baseline-direct-before.json
baseline/direct,measured,2,after,2026-09-11T07:46:42.571401+00:00,AC Power,30,7.46,5.13,4.7,owner_state/results/collect-20260911T074413358669Z/016-measured-02-baseline-direct-after.json
baseline/rlp,measured,2,before,2026-09-11T07:46:42.633758+00:00,AC Power,30,7.46,5.13,4.7,owner_state/results/collect-20260911T074413358669Z/017-measured-02-baseline-rlp-before.json
baseline/rlp,measured,2,after,2026-09-11T07:46:52.500111+00:00,AC Power,30,7.88,5.29,4.76,owner_state/results/collect-20260911T074413358669Z/017-measured-02-baseline-rlp-after.json
cse_dce/rlp,measured,2,before,2026-09-11T07:46:52.565197+00:00,AC Power,30,7.88,5.29,4.76,owner_state/results/collect-20260911T074413358669Z/018-measured-02-cse_dce-rlp-before.json
cse_dce/rlp,measured,2,after,2026-09-11T07:47:01.986240+00:00,AC Power,30,6.97,5.18,4.73,owner_state/results/collect-20260911T074413358669Z/018-measured-02-cse_dce-rlp-after.json
cse_dce/rlp,measured,3,before,2026-09-11T07:47:02.044148+00:00,AC Power,30,6.97,5.18,4.73,owner_state/results/collect-20260911T074413358669Z/019-measured-03-cse_dce-rlp-before.json
cse_dce/rlp,measured,3,after,2026-09-11T07:47:11.521650+00:00,AC Power,30,6.6,5.16,4.72,owner_state/results/collect-20260911T074413358669Z/019-measured-03-cse_dce-rlp-after.json
baseline/rlp,measured,3,before,2026-09-11T07:47:11.585048+00:00,AC Power,30,6.6,5.16,4.72,owner_state/results/collect-20260911T074413358669Z/020-measured-03-baseline-rlp-before.json
baseline/rlp,measured,3,after,2026-09-11T07:47:21.187126+00:00,AC Power,30,6.94,5.28,4.77,owner_state/results/collect-20260911T074413358669Z/020-measured-03-baseline-rlp-after.json
baseline/direct,measured,3,before,2026-09-11T07:47:21.253124+00:00,AC Power,30,6.94,5.28,4.77,owner_state/results/collect-20260911T074413358669Z/021-measured-03-baseline-direct-before.json
baseline/direct,measured,3,after,2026-09-11T07:47:28.789235+00:00,AC Power,30,7.07,5.37,4.81,owner_state/results/collect-20260911T074413358669Z/021-measured-03-baseline-direct-after.json
cse_dce/direct,measured,3,before,2026-09-11T07:47:28.845345+00:00,AC Power,30,7.07,5.37,4.81,owner_state/results/collect-20260911T074413358669Z/022-measured-03-cse_dce-direct-before.json
cse_dce/direct,measured,3,after,2026-09-11T07:47:36.573448+00:00,AC Power,30,6.58,5.3,4.79,owner_state/results/collect-20260911T074413358669Z/022-measured-03-cse_dce-direct-after.json
baseline/ssz,measured,3,before,2026-09-11T07:47:36.627337+00:00,AC Power,30,6.58,5.3,4.79,owner_state/results/collect-20260911T074413358669Z/023-measured-03-baseline-ssz-before.json
baseline/ssz,measured,3,after,2026-09-11T07:47:46.222261+00:00,AC Power,30,7.49,5.54,4.88,owner_state/results/collect-20260911T074413358669Z/023-measured-03-baseline-ssz-after.json
cse_dce/ssz,measured,3,before,2026-09-11T07:47:46.284817+00:00,AC Power,30,7.49,5.54,4.88,owner_state/results/collect-20260911T074413358669Z/024-measured-03-cse_dce-ssz-before.json
cse_dce/ssz,measured,3,after,2026-09-11T07:47:55.260583+00:00,AC Power,30,6.8,5.45,4.85,owner_state/results/collect-20260911T074413358669Z/024-measured-03-cse_dce-ssz-after.json
baseline/ssz,measured,4,before,2026-09-11T07:47:55.329873+00:00,AC Power,30,6.8,5.45,4.85,owner_state/results/collect-20260911T074413358669Z/025-measured-04-baseline-ssz-before.json
baseline/ssz,measured,4,after,2026-09-11T07:48:04.213656+00:00,AC Power,30,7.03,5.55,4.9,owner_state/results/collect-20260911T074413358669Z/025-measured-04-baseline-ssz-after.json
baseline/direct,measured,4,before,2026-09-11T07:48:04.277121+00:00,AC Power,30,7.03,5.55,4.9,owner_state/results/collect-20260911T074413358669Z/026-measured-04-baseline-direct-before.json
baseline/direct,measured,4,after,2026-09-11T07:48:11.820836+00:00,AC Power,30,7.59,5.69,4.95,owner_state/results/collect-20260911T074413358669Z/026-measured-04-baseline-direct-after.json
cse_dce/ssz,measured,4,before,2026-09-11T07:48:11.875460+00:00,AC Power,30,7.59,5.69,4.95,owner_state/results/collect-20260911T074413358669Z/027-measured-04-cse_dce-ssz-before.json
cse_dce/ssz,measured,4,after,2026-09-11T07:48:20.808557+00:00,AC Power,30,8.08,5.86,5.02,owner_state/results/collect-20260911T074413358669Z/027-measured-04-cse_dce-ssz-after.json
cse_dce/rlp,measured,4,before,2026-09-11T07:48:20.872323+00:00,AC Power,30,8.08,5.86,5.02,owner_state/results/collect-20260911T074413358669Z/028-measured-04-cse_dce-rlp-before.json
cse_dce/rlp,measured,4,after,2026-09-11T07:48:29.653010+00:00,AC Power,30,8.99,6.13,5.12,owner_state/results/collect-20260911T074413358669Z/028-measured-04-cse_dce-rlp-after.json
cse_dce/direct,measured,4,before,2026-09-11T07:48:29.719295+00:00,AC Power,30,8.99,6.13,5.12,owner_state/results/collect-20260911T074413358669Z/029-measured-04-cse_dce-direct-before.json
cse_dce/direct,measured,4,after,2026-09-11T07:48:37.174736+00:00,AC Power,30,8.43,6.06,5.1,owner_state/results/collect-20260911T074413358669Z/029-measured-04-cse_dce-direct-after.json
baseline/rlp,measured,4,before,2026-09-11T07:48:37.230381+00:00,AC Power,30,8.43,6.06,5.1,owner_state/results/collect-20260911T074413358669Z/030-measured-04-baseline-rlp-before.json
baseline/rlp,measured,4,after,2026-09-11T07:48:46.206974+00:00,AC Power,30,7.68,5.98,5.09,owner_state/results/collect-20260911T074413358669Z/030-measured-04-baseline-rlp-after.json
cse_dce/direct,measured,5,before,2026-09-11T07:48:46.269598+00:00,AC Power,30,7.68,5.98,5.09,owner_state/results/collect-20260911T074413358669Z/031-measured-05-cse_dce-direct-before.json
cse_dce/direct,measured,5,after,2026-09-11T07:48:53.752207+00:00,AC Power,30,7.38,5.94,5.08,owner_state/results/collect-20260911T074413358669Z/031-measured-05-cse_dce-direct-after.json
cse_dce/ssz,measured,5,before,2026-09-11T07:48:53.805545+00:00,AC Power,30,7.38,5.94,5.08,owner_state/results/collect-20260911T074413358669Z/032-measured-05-cse_dce-ssz-before.json
cse_dce/ssz,measured,5,after,2026-09-11T07:49:02.615107+00:00,AC Power,30,7.43,6.0,5.11,owner_state/results/collect-20260911T074413358669Z/032-measured-05-cse_dce-ssz-after.json
baseline/rlp,measured,5,before,2026-09-11T07:49:02.679297+00:00,AC Power,30,7.43,6.0,5.11,owner_state/results/collect-20260911T074413358669Z/033-measured-05-baseline-rlp-before.json
baseline/rlp,measured,5,after,2026-09-11T07:49:11.579438+00:00,AC Power,30,7.14,5.98,5.11,owner_state/results/collect-20260911T074413358669Z/033-measured-05-baseline-rlp-after.json
baseline/ssz,measured,5,before,2026-09-11T07:49:11.642637+00:00,AC Power,30,7.14,5.98,5.11,owner_state/results/collect-20260911T074413358669Z/034-measured-05-baseline-ssz-before.json
baseline/ssz,measured,5,after,2026-09-11T07:49:20.390416+00:00,AC Power,30,7.54,6.1,5.16,owner_state/results/collect-20260911T074413358669Z/034-measured-05-baseline-ssz-after.json
cse_dce/rlp,measured,5,before,2026-09-11T07:49:20.454011+00:00,AC Power,30,7.54,6.1,5.16,owner_state/results/collect-20260911T074413358669Z/035-measured-05-cse_dce-rlp-before.json
cse_dce/rlp,measured,5,after,2026-09-11T07:49:29.532617+00:00,AC Power,30,8.53,6.35,5.26,owner_state/results/collect-20260911T074413358669Z/035-measured-05-cse_dce-rlp-after.json
baseline/direct,measured,5,before,2026-09-11T07:49:29.592853+00:00,AC Power,30,8.53,6.35,5.26,owner_state/results/collect-20260911T074413358669Z/036-measured-05-baseline-direct-before.json
baseline/direct,measured,5,after,2026-09-11T07:49:36.905677+00:00,AC Power,30,8.8,6.45,5.3,owner_state/results/collect-20260911T074413358669Z/036-measured-05-baseline-direct-after.json
baseline/direct,measured,6,before,2026-09-11T07:49:36.958363+00:00,AC Power,30,8.8,6.45,5.3,owner_state/results/collect-20260911T074413358669Z/037-measured-06-baseline-direct-before.json
baseline/direct,measured,6,after,2026-09-11T07:49:44.293936+00:00,AC Power,30,8.42,6.45,5.32,owner_state/results/collect-20260911T074413358669Z/037-measured-06-baseline-direct-after.json
cse_dce/rlp,measured,6,before,2026-09-11T07:49:44.348524+00:00,AC Power,30,8.42,6.45,5.32,owner_state/results/collect-20260911T074413358669Z/038-measured-06-cse_dce-rlp-before.json
cse_dce/rlp,measured,6,after,2026-09-11T07:49:53.074252+00:00,AC Power,30,8.78,6.56,5.36,owner_state/results/collect-20260911T074413358669Z/038-measured-06-cse_dce-rlp-after.json
baseline/ssz,measured,6,before,2026-09-11T07:49:53.129590+00:00,AC Power,30,8.78,6.56,5.36,owner_state/results/collect-20260911T074413358669Z/039-measured-06-baseline-ssz-before.json
baseline/ssz,measured,6,after,2026-09-11T07:50:01.871215+00:00,AC Power,30,8.13,6.49,5.35,owner_state/results/collect-20260911T074413358669Z/039-measured-06-baseline-ssz-after.json
baseline/rlp,measured,6,before,2026-09-11T07:50:01.934170+00:00,AC Power,30,8.13,6.49,5.35,owner_state/results/collect-20260911T074413358669Z/040-measured-06-baseline-rlp-before.json
baseline/rlp,measured,6,after,2026-09-11T07:50:11.034552+00:00,AC Power,30,8.86,6.7,5.44,owner_state/results/collect-20260911T074413358669Z/040-measured-06-baseline-rlp-after.json
cse_dce/ssz,measured,6,before,2026-09-11T07:50:11.097630+00:00,AC Power,30,8.86,6.7,5.44,owner_state/results/collect-20260911T074413358669Z/041-measured-06-cse_dce-ssz-before.json
cse_dce/ssz,measured,6,after,2026-09-11T07:50:19.977678+00:00,AC Power,30,9.49,6.91,5.53,owner_state/results/collect-20260911T074413358669Z/041-measured-06-cse_dce-ssz-after.json
cse_dce/direct,measured,6,before,2026-09-11T07:50:20.040117+00:00,AC Power,30,9.49,6.91,5.53,owner_state/results/collect-20260911T074413358669Z/042-measured-06-cse_dce-direct-before.json
cse_dce/direct,measured,6,after,2026-09-11T07:50:27.321517+00:00,AC Power,30,9.93,7.04,5.58,owner_state/results/collect-20260911T074413358669Z/042-measured-06-cse_dce-direct-after.json
cse_dce/rlp,measured,7,before,2026-09-11T07:50:27.376072+00:00,AC Power,30,9.93,7.04,5.58,owner_state/results/collect-20260911T074413358669Z/043-measured-07-cse_dce-rlp-before.json
cse_dce/rlp,measured,7,after,2026-09-11T07:50:36.412620+00:00,AC Power,30,8.71,6.88,5.54,owner_state/results/collect-20260911T074413358669Z/043-measured-07-cse_dce-rlp-after.json
baseline/rlp,measured,7,before,2026-09-11T07:50:36.473801+00:00,AC Power,30,8.71,6.88,5.54,owner_state/results/collect-20260911T074413358669Z/044-measured-07-baseline-rlp-before.json
baseline/rlp,measured,7,after,2026-09-11T07:50:45.373227+00:00,AC Power,30,7.83,6.75,5.51,owner_state/results/collect-20260911T074413358669Z/044-measured-07-baseline-rlp-after.json
baseline/direct,measured,7,before,2026-09-11T07:50:45.437361+00:00,AC Power,30,7.83,6.75,5.51,owner_state/results/collect-20260911T074413358669Z/045-measured-07-baseline-direct-before.json
baseline/direct,measured,7,after,2026-09-11T07:50:52.906584+00:00,AC Power,30,7.52,6.7,5.5,owner_state/results/collect-20260911T074413358669Z/045-measured-07-baseline-direct-after.json
cse_dce/direct,measured,7,before,2026-09-11T07:50:52.960691+00:00,AC Power,30,7.52,6.7,5.5,owner_state/results/collect-20260911T074413358669Z/046-measured-07-cse_dce-direct-before.json
cse_dce/direct,measured,7,after,2026-09-11T07:51:00.283436+00:00,AC Power,30,7.63,6.75,5.53,owner_state/results/collect-20260911T074413358669Z/046-measured-07-cse_dce-direct-after.json
baseline/ssz,measured,7,before,2026-09-11T07:51:00.338417+00:00,AC Power,30,7.63,6.75,5.53,owner_state/results/collect-20260911T074413358669Z/047-measured-07-baseline-ssz-before.json
baseline/ssz,measured,7,after,2026-09-11T07:51:09.246866+00:00,AC Power,30,7.57,6.76,5.55,owner_state/results/collect-20260911T074413358669Z/047-measured-07-baseline-ssz-after.json
cse_dce/ssz,measured,7,before,2026-09-11T07:51:09.308495+00:00,AC Power,30,7.57,6.76,5.55,owner_state/results/collect-20260911T074413358669Z/048-measured-07-cse_dce-ssz-before.json
cse_dce/ssz,measured,7,after,2026-09-11T07:51:18.037518+00:00,AC Power,30,8.09,6.88,5.6,owner_state/results/collect-20260911T074413358669Z/048-measured-07-cse_dce-ssz-after.json
cse_dce/direct,measured,8,before,2026-09-11T07:51:18.094069+00:00,AC Power,30,8.09,6.88,5.6,owner_state/results/collect-20260911T074413358669Z/049-measured-08-cse_dce-direct-before.json
cse_dce/direct,measured,8,after,2026-09-11T07:51:25.468292+00:00,AC Power,30,7.37,6.76,5.57,owner_state/results/collect-20260911T074413358669Z/049-measured-08-cse_dce-direct-after.json
cse_dce/ssz,measured,8,before,2026-09-11T07:51:25.522978+00:00,AC Power,30,7.37,6.76,5.57,owner_state/results/collect-20260911T074413358669Z/050-measured-08-cse_dce-ssz-before.json
cse_dce/ssz,measured,8,after,2026-09-11T07:51:34.238635+00:00,AC Power,30,7.51,6.82,5.6,owner_state/results/collect-20260911T074413358669Z/050-measured-08-cse_dce-ssz-after.json
baseline/rlp,measured,8,before,2026-09-11T07:51:34.303779+00:00,AC Power,30,7.51,6.82,5.6,owner_state/results/collect-20260911T074413358669Z/051-measured-08-baseline-rlp-before.json
baseline/rlp,measured,8,after,2026-09-11T07:51:43.594496+00:00,AC Power,30,7.87,6.9,5.64,owner_state/results/collect-20260911T074413358669Z/051-measured-08-baseline-rlp-after.json
baseline/ssz,measured,8,before,2026-09-11T07:51:43.654717+00:00,AC Power,30,7.87,6.9,5.64,owner_state/results/collect-20260911T074413358669Z/052-measured-08-baseline-ssz-before.json
baseline/ssz,measured,8,after,2026-09-11T07:51:52.393337+00:00,AC Power,30,7.12,6.78,5.61,owner_state/results/collect-20260911T074413358669Z/052-measured-08-baseline-ssz-after.json
cse_dce/rlp,measured,8,before,2026-09-11T07:51:52.454608+00:00,AC Power,30,7.12,6.78,5.61,owner_state/results/collect-20260911T074413358669Z/053-measured-08-cse_dce-rlp-before.json
cse_dce/rlp,measured,8,after,2026-09-11T07:52:01.197393+00:00,AC Power,30,7.66,6.9,5.67,owner_state/results/collect-20260911T074413358669Z/053-measured-08-cse_dce-rlp-after.json
baseline/direct,measured,8,before,2026-09-11T07:52:01.260508+00:00,AC Power,30,7.66,6.9,5.67,owner_state/results/collect-20260911T074413358669Z/054-measured-08-baseline-direct-before.json
baseline/direct,measured,8,after,2026-09-11T07:52:08.689596+00:00,AC Power,30,8.17,7.02,5.72,owner_state/results/collect-20260911T074413358669Z/054-measured-08-baseline-direct-after.json
