case,anchor,hashes,committed_cells,original_prove_ms,repeat_prove_ms,prove_change_percent,original_verify_ms,repeat_verify_ms,verify_change_percent
plain_eoa,direct_state,125,196672,30.607104,32.047906,4.707410,4.875927,4.881573,0.115793
plain_eoa,ssz_block,130,239680,32.777062,34.085969,3.993363,4.951979,5.010948,1.190817
plain_eoa,rlp_block,145,239680,32.873052,34.444302,4.779751,4.922500,4.972313,1.011945
account_storage_word,direct_state,141,239680,33.177115,34.549333,4.136038,4.915240,4.976011,1.236379
account_storage_word,ssz_block,146,239680,32.951990,34.207958,3.811509,4.966812,4.989813,0.463094
account_storage_word,rlp_block,161,239680,33.185541,34.426417,3.739207,4.986323,5.001021,0.294766
weth_balance,direct_state,220,262208,36.139355,37.305031,3.225503,5.226802,5.271875,0.862344
weth_balance,ssz_block,225,262208,36.141875,37.330625,3.289121,5.245021,5.231125,-0.264937
weth_balance,rlp_block,240,262208,35.852719,37.190948,3.732573,5.208062,5.303448,1.831507
bayc_token_100_owner,direct_state,305,348224,39.270802,40.288719,2.592045,5.334802,5.367906,0.620529
bayc_token_100_owner,ssz_block,310,348224,38.991688,40.350740,3.485492,5.312114,5.356104,0.828107
bayc_token_100_owner,rlp_block,325,348224,39.391052,40.472729,2.745997,5.272511,5.380833,2.054467
safe_authorization,direct_state,151,239680,33.172083,34.228760,3.185441,4.947375,4.994511,0.952748
safe_authorization,ssz_block,156,239680,32.877698,34.461521,4.817317,4.949355,4.981958,0.658732
safe_authorization,rlp_block,171,262208,35.627406,36.822333,3.353955,5.202104,5.268677,1.279732
tornado_recent_root,direct_state,248,262208,36.185958,37.352885,3.224806,5.216281,5.285916,1.334955
tornado_recent_root,ssz_block,253,262208,35.872032,37.201698,3.706693,5.193708,5.277240,1.608331
tornado_recent_root,rlp_block,268,348224,38.693292,40.067729,3.552132,5.297792,5.303448,0.106761
weth_and_bayc,direct_state,508,393280,40.305500,41.788896,3.680381,5.334709,5.404229,1.303164
weth_and_bayc,ssz_block,513,565312,52.355979,53.380437,1.956716,6.129562,6.131094,0.024994
weth_and_bayc,rlp_block,528,565312,51.895552,53.157448,2.431607,6.126781,6.128677,0.030946
native_weth_and_bayc,direct_state,616,565312,51.722208,53.741083,3.903304,6.080625,6.137563,0.936384
native_weth_and_bayc,ssz_block,621,565312,51.941635,53.547698,3.092053,6.111437,6.136635,0.412309
native_weth_and_bayc,rlp_block,636,565312,51.833719,53.619750,3.445693,6.071490,6.144229,1.198042
