case,anchor,hashes,blake3_domain,cycles,committed_cells,log_mem,mem_used,sessions,samples,prove_ms_median,prove_ms_ci_low,prove_ms_ci_high,prove_ms_q1,prove_ms_q3,verify_ms_median,verify_ms_ci_low,verify_ms_ci_high,verify_ms_q1,verify_ms_q3,proof_bytes
plain_eoa,direct_state,125,128,3020,196672,16,3293,6,60,32.047906,31.872677,32.552,31.674219,32.654573,4.881573,4.844958,4.976532,4.819979,4.99849,460168
plain_eoa,ssz_block,130,256,3140,239680,16,3423,6,60,34.085969,33.855198,34.226021,33.689177,34.56102,5.010948,4.957479,5.030406,4.924553,5.063875,461064
plain_eoa,rlp_block,145,256,3500,239680,16,3813,6,60,34.444302,34.033219,34.602885,34.01952,34.82826,4.972313,4.947896,5.004802,4.876136,5.061907,462632
account_storage_word,direct_state,141,256,3404,239680,16,3709,6,60,34.549333,33.88401,34.704646,33.84101,34.819771,4.976011,4.933239,5.032146,4.907708,5.080625,460904
account_storage_word,ssz_block,146,256,3524,239680,16,3839,6,60,34.207958,33.976865,34.618531,33.765094,34.720563,4.989813,4.94001,5.036093,4.894052,5.064688,462312
account_storage_word,rlp_block,161,256,3884,239680,16,4229,6,60,34.426417,34.281802,34.83149,33.942271,35.056292,5.001021,4.954667,5.007708,4.917885,5.061104,461128
weth_balance,direct_state,220,256,5300,262208,16,5763,6,60,37.305031,36.844,37.686011,36.724812,37.841896,5.271875,5.197437,5.282,5.185052,5.353052,478072
weth_balance,ssz_block,225,256,5420,262208,16,5893,6,60,37.330625,37.073115,37.461156,36.735928,37.615333,5.231125,5.219542,5.284385,5.18775,5.332448,479128
weth_balance,rlp_block,240,256,5780,262208,16,6283,6,60,37.190948,36.843208,37.238927,36.606042,37.592593,5.303448,5.264657,5.312479,5.223563,5.399677,480408
bayc_token_100_owner,direct_state,305,512,7340,348224,16,7973,6,60,40.288719,39.986344,40.535468,39.896416,40.754469,5.367906,5.299344,5.432291,5.247687,5.467822,479752
bayc_token_100_owner,ssz_block,310,512,7460,348224,16,8103,6,60,40.35074,40.052344,40.845333,40.014719,40.962853,5.356104,5.319437,5.423542,5.300229,5.450812,481032
bayc_token_100_owner,rlp_block,325,512,7820,348224,16,8493,6,60,40.472729,40.025875,40.966636,39.83175,41.132198,5.380833,5.339562,5.402157,5.297865,5.424979,482056
safe_authorization,direct_state,151,256,3644,239680,16,3969,6,60,34.22876,33.97426,34.651948,33.909761,34.671427,4.994511,4.946719,5.020115,4.900052,5.060208,461576
safe_authorization,ssz_block,156,256,3764,239680,16,4099,6,60,34.461521,34.086687,34.82302,34.023792,35.011218,4.981958,4.944729,5.021604,4.90826,5.084416,463688
safe_authorization,rlp_block,171,256,4124,262208,16,4489,6,60,36.822333,36.677875,37.102906,36.426896,37.312594,5.268677,5.221906,5.31824,5.185875,5.360625,478328
tornado_recent_root,direct_state,248,256,5972,262208,16,6491,6,60,37.352885,36.922698,37.53525,36.660552,37.599083,5.285916,5.250375,5.34874,5.187199,5.374198,479000
tornado_recent_root,ssz_block,253,256,6092,262208,16,6621,6,60,37.201698,36.985584,37.484656,36.809834,37.713469,5.27724,5.230218,5.328208,5.193552,5.378823,478872
tornado_recent_root,rlp_block,268,512,6452,348224,16,7011,6,60,40.067729,39.886646,40.257604,39.459938,40.570678,5.303448,5.288802,5.363312,5.225719,5.43725,481128
weth_and_bayc,direct_state,508,512,12212,393280,16,13251,6,60,41.788896,41.350386,42.033354,41.247177,42.134594,5.404229,5.320979,5.437844,5.30448,5.498687,481448
weth_and_bayc,ssz_block,513,1024,12332,565312,16,13381,6,60,53.380437,52.861615,53.623833,52.605552,53.996479,6.131094,6.062708,6.148594,6.041417,6.197938,505080
weth_and_bayc,rlp_block,528,1024,12692,565312,16,13771,6,60,53.157448,52.93624,53.979208,52.710334,54.211115,6.128677,6.075886,6.184792,6.057563,6.220438,504408
native_weth_and_bayc,direct_state,616,1024,14804,565312,16,16059,6,60,53.741083,53.443073,53.983907,53.110416,54.586458,6.137563,6.106948,6.191927,6.077177,6.248459,506296
native_weth_and_bayc,ssz_block,621,1024,14924,565312,16,16189,6,60,53.547698,52.927542,54.095333,52.957729,54.186271,6.136635,6.104854,6.189792,6.069042,6.239083,506136
native_weth_and_bayc,rlp_block,636,1024,15284,565312,16,16579,6,60,53.61975,53.285885,53.921073,53.031614,54.002687,6.144229,6.085406,6.190843,6.04125,6.240197,503992
