case,anchor,hashes,blake3_domain,cycles,committed_cells,log_mem,mem_used,sessions,samples,prove_ms_median,prove_ms_ci_low,prove_ms_ci_high,prove_ms_q1,prove_ms_q3,verify_ms_median,verify_ms_ci_low,verify_ms_ci_high,verify_ms_q1,verify_ms_q3,proof_bytes
plain_eoa,direct_state,125,128,3020,196672,16,3293,6,60,30.607104,30.162635,31.646531,30.154677,31.986895,4.875927,4.783604,4.94199,4.793719,4.978834,460168
plain_eoa,ssz_block,130,256,3140,239680,16,3423,6,60,32.777062,32.563646,33.159781,32.42099,33.474636,4.951979,4.858407,4.984073,4.831146,5.065626,461064
plain_eoa,rlp_block,145,256,3500,239680,16,3813,6,60,32.873052,32.462698,33.397073,32.290438,33.485219,4.9225,4.88,4.93426,4.851885,5.011396,462632
account_storage_word,direct_state,141,256,3404,239680,16,3709,6,60,33.177115,33.112614,33.386917,32.686604,34.047219,4.91524,4.903542,5.010646,4.852052,5.017094,460904
account_storage_word,ssz_block,146,256,3524,239680,16,3839,6,60,32.95199,32.48649,33.961156,32.190354,33.95325,4.966812,4.907396,5.025958,4.873344,5.048187,462312
account_storage_word,rlp_block,161,256,3884,239680,16,4229,6,60,33.185541,32.685208,34.102511,32.568437,34.061499,4.986323,4.829854,5.026687,4.834917,5.055843,461128
weth_balance,direct_state,220,256,5300,262208,16,5763,6,60,36.139355,35.865406,37.139844,35.690312,37.398885,5.226802,5.1485,5.259,5.111947,5.339854,478072
weth_balance,ssz_block,225,256,5420,262208,16,5893,6,60,36.141875,35.579886,37.159427,35.510448,37.001969,5.245021,5.204406,5.256875,5.120656,5.31251,479128
weth_balance,rlp_block,240,256,5780,262208,16,6283,6,60,35.852719,35.310521,36.276448,35.133958,36.773313,5.208062,5.149531,5.27076,5.145041,5.311625,480408
bayc_token_100_owner,direct_state,305,512,7340,348224,16,7973,6,60,39.270802,38.594386,39.425281,38.511636,40.184136,5.334802,5.269594,5.46124,5.233928,5.457677,479752
bayc_token_100_owner,ssz_block,310,512,7460,348224,16,8103,6,60,38.991688,38.639177,39.575677,38.372041,39.943677,5.312114,5.23824,5.356281,5.202354,5.415063,481032
bayc_token_100_owner,rlp_block,325,512,7820,348224,16,8493,6,60,39.391052,38.492083,40.192667,38.303979,40.573501,5.272511,5.23626,5.38675,5.207083,5.432792,482056
safe_authorization,direct_state,151,256,3644,239680,16,3969,6,60,33.172083,32.474594,33.622354,32.40975,33.913896,4.947375,4.860354,5.010094,4.848761,5.103239,461576
safe_authorization,ssz_block,156,256,3764,239680,16,4099,6,60,32.877698,32.628198,33.373281,32.491854,33.609938,4.949355,4.92073,5.02676,4.845239,5.045646,463688
safe_authorization,rlp_block,171,256,4124,262208,16,4489,6,60,35.627406,35.418166,36.260927,35.061187,36.836875,5.202104,5.133156,5.260479,5.103583,5.305583,478328
tornado_recent_root,direct_state,248,256,5972,262208,16,6491,6,60,36.185958,35.867615,36.561625,35.49427,36.806917,5.216281,5.172313,5.239302,5.129583,5.289406,479000
tornado_recent_root,ssz_block,253,256,6092,262208,16,6621,6,60,35.872032,35.343573,36.985323,35.139073,37.275344,5.193708,5.154531,5.283511,5.142531,5.356208,478872
tornado_recent_root,rlp_block,268,512,6452,348224,16,7011,6,60,38.693292,38.147042,39.35276,38.124353,39.964916,5.297792,5.226073,5.440135,5.208771,5.435969,481128
weth_and_bayc,direct_state,508,512,12212,393280,16,13251,6,60,40.3055,39.836365,41.001198,39.608657,41.37352,5.334709,5.285771,5.36724,5.218396,5.415708,481448
weth_and_bayc,ssz_block,513,1024,12332,565312,16,13381,6,60,52.355979,50.639886,52.970021,50.769553,53.231948,6.129562,6.070604,6.211135,6.038406,6.241729,505080
weth_and_bayc,rlp_block,528,1024,12692,565312,16,13771,6,60,51.895552,50.557531,52.591062,50.558823,53.017542,6.126781,6.055885,6.177865,6.022167,6.272625,504408
native_weth_and_bayc,direct_state,616,1024,14804,565312,16,16059,6,60,51.722208,51.007323,53.248865,50.915594,53.84849,6.080625,6.033437,6.135396,6.009885,6.173781,506296
native_weth_and_bayc,ssz_block,621,1024,14924,565312,16,16189,6,60,51.941635,50.990042,53.01274,50.707937,52.976563,6.111437,6.01099,6.171437,6.017177,6.198437,506136
native_weth_and_bayc,rlp_block,636,1024,15284,565312,16,16579,6,60,51.833719,51.248417,52.523875,51.1055,53.334511,6.07149,6.048521,6.117406,6.018365,6.147959,503992
